dataflow_id,agency_id,original_name,friendly_name
SEEA_AEA_A,ESTAT,Air Emissions Accounts,air_emissions_accounts
DF_SDG_GLC,IAEG-SDGs,SDG Country Global Dataflow,sdg_country_global
DF_SDG_GLH,IAEG-SDGs,SDG Harmonized Global Dataflow,sdg_harmonized_global
DSD_FUA_CLIM@DF_CLIM_PROJ,OECD.CFE.EDS,"Climate projections by scenario, 2030–2060 – Cities and FUAs",climate_projections_cities_fuas
DSD_FUA_CLIM@DF_COASTAL_FLOOD,OECD.CFE.EDS,Coastal flooding - Cities and FUAs,coastal_flooding_cities_fuas
DSD_FUA_CLIM@DF_DROUGHT,OECD.CFE.EDS,Drought - Cities and FUAs,drought_cities_fuas
DSD_FUA_CLIM@DF_FIRES,OECD.CFE.EDS,Wildfires - Cities and FUAs,wildfires_cities_fuas
DSD_FUA_CLIM@DF_HEAT_STRESS,OECD.CFE.EDS,Heat stress - Cities and FUAs,heat_stress_cities_fuas
DSD_FUA_CLIM@DF_LAND_TEMP,OECD.CFE.EDS,Land surface temperature -  Cities and FUAs,land_surface_temp_cities_fuas
DSD_FUA_CLIM@DF_PRECIP,OECD.CFE.EDS,Precipitation - FUAs,precipitation_fuas
DSD_FUA_CLIM@DF_RIVER_FLOOD,OECD.CFE.EDS,River flooding - Cities and FUAs,river_flood_cities_fua
DSD_FUA_CLIM@DF_TEMPERATURES,OECD.CFE.EDS,"Air temperature, hot days, tropical nights and icing days - FUAs",temperature_hot_days_fua
DSD_FUA_DEMO@DF_AGE_SEX,OECD.CFE.EDS,Population by age and sex - Cities and FUAs,population_age_sex_cities_fua
DSD_FUA_DEMO@DF_DEPEND,OECD.CFE.EDS,Dependency ratio - Cities and FUAs,dependency_ratio_cities_fua
DSD_FUA_DEMO@DF_ORIGIN,OECD.CFE.EDS,Foreign-born population - Cities and FUAs,foreign_born_population_cities_fua
DSD_FUA_DIGI@DF_INTERNET_SPEED,OECD.CFE.EDS,Internet speed - Cities and FUAs,internet_speed_cities_fua
DSD_FUA_ECO@DF_ECONOMY,OECD.CFE.EDS,Economy - FUAs,economy_fua
DSD_FUA_ENER@DF_CDD_HDD,OECD.CFE.EDS,Cooling and heating degree days - Cities and FUAs,cooling_heating_degree_days_cities_fua
